date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:19	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jun%202026%2016:45:19%20GMT	https://htmldemo.net/robots.txt		(from )
19:45:19	254616/254616	---MCZ	200	added ('OK')	text/html	etag:%22618c9bf0-3e298%22	https://htmldemo.net/mirora/mirora/index.html	C:/Benim%20Web%20Sitem/Saat/htmldemo.net/mirora/mirora/index.html	(from )
19:45:19	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22618c9c1b-47e%22	https://htmldemo.net/mirora/mirora/assets/img/favicon.ico	C:/Benim%20Web%20Sitem/Saat/htmldemo.net/mirora/mirora/assets/img/favicon.ico	(from https://htmldemo.net/mirora/mirora/index.html)
19:45:20	4029/4029	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Jun%202026%2016:45:20%20GMT	https://htmldemo.net/mirora/mirora/assets/img/icon.png	C:/Benim%20Web%20Sitem/Saat/htmldemo.net/mirora/mirora/assets/img/icon.png	(from https://htmldemo.net/mirora/mirora/index.html)
19:45:20	196037/196037	---MCZ	200	added ('OK')	text/css	etag:%22618c9c11-2fdc5%22	https://htmldemo.net/mirora/mirora/assets/css/bootstrap.css	C:/Benim%20Web%20Sitem/Saat/htmldemo.net/mirora/mirora/assets/css/bootstrap.css	(from https://htmldemo.net/mirora/mirora/index.html)
19:45:21	42783/42783	---MCZ	200	added ('OK')	text/css	etag:%22618c9c11-a71f%22	https://htmldemo.net/mirora/mirora/assets/css/font-awesome.min.css	C:/Benim%20Web%20Sitem/Saat/htmldemo.net/mirora/mirora/assets/css/font-awesome.min.css	(from https://htmldemo.net/mirora/mirora/index.html)
19:45:21	25252/25252	---MCZ	200	added ('OK')	text/css	etag:%22618c9c12-62a4%22	https://htmldemo.net/mirora/mirora/assets/css/elegent-icons.css	C:/Benim%20Web%20Sitem/Saat/htmldemo.net/mirora/mirora/assets/css/elegent-icons.css	(from https://htmldemo.net/mirora/mirora/index.html)
19:45:21	33373/33373	---MCZ	200	added ('OK')	text/css	etag:%22618c9c11-825d%22	https://htmldemo.net/mirora/mirora/assets/css/plugins.css	C:/Benim%20Web%20Sitem/Saat/htmldemo.net/mirora/mirora/assets/css/plugins.css	(from https://htmldemo.net/mirora/mirora/index.html)
19:45:21	190488/190488	---MCZ	200	added ('OK')	text/css	etag:%22618c9c1e-2e818%22	https://htmldemo.net/mirora/mirora/assets/css/main.css	C:/Benim%20Web%20Sitem/Saat/htmldemo.net/mirora/mirora/assets/css/main.css	(from https://htmldemo.net/mirora/mirora/index.html)
19:45:22	15520/15520	---MCZ	200	added ('OK')	application/javascript	etag:%22618c9c68-3ca0%22	https://htmldemo.net/mirora/mirora/assets/js/vendor/modernizr-2.8.3.min.js	C:/Benim%20Web%20Sitem/Saat/htmldemo.net/mirora/mirora/assets/js/vendor/modernizr-2.8.3.min.js	(from https://htmldemo.net/mirora/mirora/index.html)
19:45:22	455/455	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Jun%202026%2016:45:22%20GMT	https://htmldemo.net/mirora/mirora/assets/img/header/1.jpg	C:/Benim%20Web%20Sitem/Saat/htmldemo.net/mirora/mirora/assets/img/header/1.jpg	(from https://htmldemo.net/mirora/mirora/index.html)
